iter	Passed	Remaining
223	3493	12102
224	3500	12057
225	3508	12017
226	3516	11973
227	3524	11933
228	3531	11890
229	3538	11847
230	3546	11807
231	3554	11765
232	3562	11726
233	3569	11685
234	3577	11646
235	3585	11606
236	3593	11570
237	3601	11529
238	3609	11493
239	3617	11455
240	3626	11419
241	3633	11381
242	3642	11345
243	3649	11306
244	3657	11271
245	3664	11232
246	3673	11198
247	3681	11164
248	3690	11130
249	3698	11094
250	3716	11090
251	3733	11081
252	3751	11075
253	3768	11068
254	3784	11057
255	3801	11047
256	3820	11045
257	3837	11036
258	3855	11031
259	3874	11028
260	3892	11020
261	3909	11011
262	3925	10999
263	3942	10991
264	3960	10984
265	3976	10972
266	3993	10963
267	4010	10953
268	4027	10943
269	4044	10935
270	4063	10931
271	4081	10923
272	4099	10916
273	4116	10906
274	4133	10896
275	4151	10888
276	4169	10883
277	4186	10872
278	4203	10862
279	4222	10858
280	4240	10849
281	4257	10839
282	4275	10832
283	4293	10823
284	4310	10814
285	4328	10806
286	4345	10794
287	4362	10784
288	4379	10774
289	4397	10765
290	4414	10755
291	4431	10744
292	4447	10732
293	4464	10720
294	4483	10713
295	4502	10708
296	4518	10695
297	4534	10682
298	4550	10669
299	4567	10657
300	4584	10645
301	4602	10638
302	4619	10625
303	4638	10618
304	4656	10609
305	4673	10599
306	4690	10587
307	4709	10580
308	4726	10569
309	4743	10557
310	4759	10544
311	4776	10532
312	4793	10520
313	4810	10510
314	4827	10497
315	4844	10485
316	4861	10474
317	4882	10471
318	4902	10464
319	4922	10460
320	4939	10447
321	4955	10435
322	4973	10423
323	4990	10411
324	5007	10399
325	5025	10390
326	5042	10377
327	5057	10362
328	5074	10349
329	5090	10335
330	5106	10321
331	5122	10307
332	5140	10295
333	5157	10283
334	5173	10270
335	5193	10264
336	5211	10253
337	5229	10242
338	5247	10232
339	5264	10219
340	5283	10209
341	5300	10198
342	5318	10186
343	5334	10173
344	5353	10163
345	5369	10149
346	5385	10134
347	5400	10118
348	5417	10105
349	5437	10098
350	5455	10086
351	5472	10074
352	5488	10060
353	5507	10051
354	5526	10041
355	5543	10028
356	5562	10018
357	5579	10005
358	5595	9991
359	5612	9978
360	5629	9964
361	5645	9949
362	5664	9940
363	5683	9929
364	5706	9928
365	5724	9916
366	5741	9902
367	5760	9893
368	5780	9884
369	5796	9870
370	5814	9857
371	5834	9849
372	5853	9838
373	5871	9827
374	5888	9814
375	5905	9800
376	5922	9786
377	5938	9771
378	5955	9758
379	5971	9743
380	5988	9729
381	6004	9713
382	6020	9698
383	6036	9682
384	6052	9667
385	6069	9654
386	6087	9642
387	6106	9631
388	6122	9616
389	6138	9601
390	6155	9588
391	6173	9574
392	6190	9561
393	6209	9550
394	6228	9539
395	6245	9525
396	6262	9511
397	6279	9498
398	6299	9488
399	6318	9477
400	6335	9463
401	6352	9449
402	6369	9435
